capital_flow_item_time,in_flow
2022-03-31 09:30:00,-22669920.0
2022-03-31 09:31:00,-23384700.0
2022-03-31 09:32:00,-35910900.0
2022-03-31 09:33:00,-26590040.0
2022-03-31 09:34:00,-33938500.0
2022-03-31 09:35:00,-50035800.0
2022-03-31 09:36:00,-62853760.0
2022-03-31 09:37:00,-61455780.0
2022-03-31 09:38:00,-55425480.0
2022-03-31 09:39:00,-59457500.0
2022-03-31 09:40:00,-64952780.0
2022-03-31 09:41:00,-64888300.0
2022-03-31 09:42:00,-67072400.0
2022-03-31 09:43:00,-67864800.0
2022-03-31 09:44:00,-67937760.0
2022-03-31 09:45:00,-84226100.0
2022-03-31 09:46:00,-107861060.0
2022-03-31 09:47:00,-110302340.0
2022-03-31 09:48:00,-108949660.0
2022-03-31 09:49:00,-111766400.0
2022-03-31 09:50:00,-98013920.0
2022-03-31 09:51:00,-107489560.0
2022-03-31 09:52:00,-105047020.0
2022-03-31 09:53:00,-103491560.0
2022-03-31 09:54:00,-106007700.0
2022-03-31 09:55:00,-106269380.0
2022-03-31 09:56:00,-110283000.0
2022-03-31 09:57:00,-130946760.0
2022-03-31 09:58:00,-145918060.0
2022-03-31 09:59:00,-130021820.0
2022-03-31 10:00:00,-146956280.0
2022-03-31 10:01:00,-157697640.0
2022-03-31 10:02:00,-154821860.0
2022-03-31 10:03:00,-156949760.0
2022-03-31 10:04:00,-160384540.0
2022-03-31 10:05:00,-160830800.0
2022-03-31 10:06:00,-164671640.0
2022-03-31 10:07:00,-160826420.0
2022-03-31 10:08:00,-156711040.0
2022-03-31 10:09:00,-165218760.0
2022-03-31 10:10:00,-119934200.0
2022-03-31 10:11:00,-116497000.0
2022-03-31 10:12:00,-108992480.0
2022-03-31 10:13:00,-97482780.0
2022-03-31 10:14:00,-98455520.0
2022-03-31 10:15:00,-91139060.0
2022-03-31 10:16:00,-94056480.0
2022-03-31 10:17:00,-94766400.0
2022-03-31 10:18:00,-89373860.0
2022-03-31 10:19:00,-74643980.0
2022-03-31 10:20:00,-57055480.0
2022-03-31 10:21:00,-56044940.0
2022-03-31 10:22:00,-50955980.0
2022-03-31 10:23:00,-45789000.0
2022-03-31 10:24:00,-40656500.0
2022-03-31 10:25:00,-32675060.0
2022-03-31 10:26:00,-32449700.0
2022-03-31 10:27:00,-37694400.0
2022-03-31 10:28:00,-31101240.0
2022-03-31 10:29:00,-31999600.0
2022-03-31 10:30:00,-22139540.0
2022-03-31 10:31:00,-21651500.0
2022-03-31 10:32:00,-11823180.0
2022-03-31 10:33:00,-4819360.0
2022-03-31 10:34:00,2833460.0
2022-03-31 10:35:00,16858460.0
2022-03-31 10:36:00,19075180.0
2022-03-31 10:37:00,26632340.0
2022-03-31 10:38:00,22236600.0
2022-03-31 10:39:00,24342420.0
2022-03-31 10:40:00,20359980.0
2022-03-31 10:41:00,20698240.0
2022-03-31 10:42:00,22727160.0
2022-03-31 10:43:00,23215540.0
2022-03-31 10:44:00,23854320.0
2022-03-31 10:45:00,34900200.0
2022-03-31 10:46:00,33359660.0
2022-03-31 10:47:00,33323060.0
2022-03-31 10:48:00,32232880.0
2022-03-31 10:49:00,36853240.0
2022-03-31 10:50:00,38468140.0
2022-03-31 10:51:00,38806280.0
2022-03-31 10:52:00,38168180.0
2022-03-31 10:53:00,31641220.0
2022-03-31 10:54:00,20286180.0
2022-03-31 10:55:00,32009580.0
2022-03-31 10:56:00,29687340.0
2022-03-31 10:57:00,32311160.0
2022-03-31 10:58:00,32799060.0
2022-03-31 10:59:00,30663740.0
2022-03-31 11:00:00,29765000.0
2022-03-31 11:01:00,33250360.0
2022-03-31 11:02:00,29615560.0
2022-03-31 11:03:00,64621640.0
2022-03-31 11:04:00,67698160.0
2022-03-31 11:05:00,69162360.0
2022-03-31 11:06:00,70063960.0
2022-03-31 11:07:00,63795300.0
2022-03-31 11:08:00,59180700.0
2022-03-31 11:09:00,59106040.0
2022-03-31 11:10:00,55993760.0
2022-03-31 11:11:00,56444280.0
2022-03-31 11:12:00,47332680.0
2022-03-31 11:13:00,47070760.0
2022-03-31 11:14:00,49133700.0
2022-03-31 11:15:00,45427820.0
2022-03-31 11:16:00,64541840.0
2022-03-31 11:17:00,68031300.0
2022-03-31 11:18:00,72573780.0
2022-03-31 11:19:00,73437840.0
2022-03-31 11:20:00,73325560.0
2022-03-31 11:21:00,74640500.0
2022-03-31 11:22:00,75542240.0
2022-03-31 11:23:00,77157460.0
2022-03-31 11:24:00,78171680.0
2022-03-31 11:25:00,78923080.0
2022-03-31 11:26:00,79787260.0
2022-03-31 11:27:00,80914240.0
2022-03-31 11:28:00,81928620.0
2022-03-31 11:29:00,82868360.0
2022-03-31 11:30:00,83131660.0
2022-03-31 11:31:00,103451820.0
2022-03-31 11:32:00,104503680.0
2022-03-31 11:33:00,101726200.0
2022-03-31 11:34:00,79959620.0
2022-03-31 11:35:00,79809840.0
2022-03-31 11:36:00,70661960.0
2022-03-31 11:37:00,67518640.0
2022-03-31 11:38:00,63852180.0
2022-03-31 11:39:00,77709300.0
2022-03-31 11:40:00,67789760.0
2022-03-31 11:41:00,66779240.0
2022-03-31 11:42:00,66405160.0
2022-03-31 11:43:00,63899220.0
2022-03-31 11:44:00,73485480.0
2022-03-31 11:45:00,65394700.0
2022-03-31 11:46:00,82823540.0
2022-03-31 11:47:00,87178280.0
2022-03-31 11:48:00,101906220.0
2022-03-31 11:49:00,99277200.0
2022-03-31 11:50:00,99615420.0
2022-03-31 11:51:00,100066520.0
2022-03-31 11:52:00,92560960.0
